,company_id,Company,Followers,No_of_Employees ,Industry_copy,Industry
0,cp_1,Fifth Column,467 followers,2-10 employees,Architecture and Planning 2-10 employees 7 on LinkedIn,Architecture and Planning 
1,cp_2,RADIANT,"5,341 followers",51-200 employees,Architecture and Planning 51-200 employees 180 on LinkedIn,Architecture and Planning 
2,cp_3,Jio,"1,082,875 followers","10,001+ employees","Telecommunications 10,001+ employees 61,946 on LinkedIn",Telecommunications 
3,cp_4,Hyqoo,"222,357 followers",51-200 employees,IT Services and IT Consulting 51-200 employees 131 on LinkedIn,IT Services and IT Consulting 
4,cp_5,Dr. Reddy's Laboratories,"1,091,566 followers","10,001+ employees","Pharmaceutical Manufacturing 10,001+ employees 25,512 on LinkedIn",Pharmaceutical Manufacturing 
5,cp_6,DMart - Avenue Supermarts Ltd,"184,982 followers","5,001-10,000 employees","Retail 5,001-10,000 employees 11,574 on LinkedIn",Retail 
6,cp_7,Ipca Laboratories Limited,"292,256 followers","10,001+ employees","Pharmaceutical Manufacturing 10,001+ employees 10,993 on LinkedIn",Pharmaceutical Manufacturing 
7,cp_8,Birlasoft,"451,170 followers","10,001+ employees","IT Services and IT Consulting 10,001+ employees 14,070 on LinkedIn",IT Services and IT Consulting 
8,cp_9,Nagarro,"1,058,381 followers","10,001+ employees","IT Services and IT Consulting 10,001+ employees 20,499 on LinkedIn",IT Services and IT Consulting 
9,cp_10,FNP,"81,602 followers","501-1,000 employees","Retail 501-1,000 employees 1,199 on LinkedIn",Retail 
10,cp_11,NationsBenefits India,"9,166 followers",201-500 employees,IT Services and IT Consulting 201-500 employees 171 on LinkedIn,IT Services and IT Consulting 
11,cp_12,BlackRock,"451,170 followers","10,001+ employees","IT Services and IT Consulting 10,001+ employees 14,070 on LinkedIn",IT Services and IT Consulting 
12,cp_13,Delta Air Lines,"451,170 followers","10,001+ employees","IT Services and IT Consulting 10,001+ employees 14,070 on LinkedIn",IT Services and IT Consulting 
13,cp_14,Infosys,"1,082,876 followers","10,001+ employees","Telecommunications 10,001+ employees 61,946 on LinkedIn",Telecommunications 
14,cp_15,IndusInd Bank,"1,794,469 followers","10,001+ employees","Financial Services 10,001+ employees 25,441 on LinkedIn",Financial Services 
15,cp_16,Bureau Veritas Group,"1,288,239 followers","10,001+ employees","Airlines and Aviation 10,001+ employees 72,306 on LinkedIn",Airlines and Aviation 
16,cp_17,Qatar Airways,"8,561,039 followers","10,001+ employees","IT Services and IT Consulting 10,001+ employees 320,829 on LinkedIn",IT Services and IT Consulting 
17,cp_18,Marsh McLennan,"1,240,722 followers","10,001+ employees","Banking 10,001+ employees 45,549 on LinkedIn",Banking 
18,cp_19,Infosys BPM,"1,077,246 followers","10,001+ employees","Environmental Services 10,001+ employees 49,030 on LinkedIn",Environmental Services 
19,cp_20,LTIMindtree,"2,349,979 followers","10,001+ employees","Airlines and Aviation 10,001+ employees 37,982 on LinkedIn",Airlines and Aviation 
20,cp_21,NAB,"563,777 followers","10,001+ employees","Financial Services 10,001+ employees 69,402 on LinkedIn",Financial Services 
21,cp_22,Infogain,"1,302,322 followers","10,001+ employees","IT Services and IT Consulting 10,001+ employees 36,495 on LinkedIn",IT Services and IT Consulting 
22,cp_23,Tata Consultancy Services,"3,754,452 followers","10,001+ employees","IT Services and IT Consulting 10,001+ employees 101,571 on LinkedIn",IT Services and IT Consulting 
23,cp_24,Asian Paints,"8,561,044 followers","10,001+ employees","IT Services and IT Consulting 10,001+ employees 320,829 on LinkedIn",IT Services and IT Consulting 
24,cp_25,Sony India Software Centre,"439,212 followers","10,001+ employees","Banking 10,001+ employees 35,268 on LinkedIn",Banking 
25,cp_26,Rakuten India,"439,212 followers","10,001+ employees","Banking 10,001+ employees 35,268 on LinkedIn",Banking 
26,cp_27,EaseMyTrip.com,"563,777 followers","10,001+ employees","Financial Services 10,001+ employees 69,402 on LinkedIn",Financial Services 
27,cp_28,Hitachi Astemo,"323,710 followers","5,001-10,000 employees","IT Services and IT Consulting 5,001-10,000 employees 5,682 on LinkedIn",IT Services and IT Consulting 
28,cp_29,Grant Thornton Bharat LLP,"14,684,572 followers","10,001+ employees","IT Services and IT Consulting 10,001+ employees 594,255 on LinkedIn",IT Services and IT Consulting 
29,cp_30,CARS24,"489,972 followers","10,001+ employees","Manufacturing 10,001+ employees 19,950 on LinkedIn",Manufacturing 
30,cp_31,Gameskraft,"1,794,477 followers","10,001+ employees","Financial Services 10,001+ employees 25,441 on LinkedIn",Financial Services 
31,cp_32,HDFC securities,"451,173 followers","10,001+ employees","IT Services and IT Consulting 10,001+ employees 14,070 on LinkedIn",IT Services and IT Consulting 
32,cp_33,Pidilite Industries Limited,"45,322 followers","1,001-5,000 employees","IT Services and IT Consulting 1,001-5,000 employees 1,983 on LinkedIn",IT Services and IT Consulting 
33,cp_34,PcsInfinity Pvt. Ltd.,"242,424 followers","1,001-5,000 employees","Technology, Information and Internet 1,001-5,000 employees 1,333 on LinkedIn","Technology, Information and Internet "
34,cp_35,Tata Communications Transformation Services (TCTS),"114,870 followers","501-1,000 employees","Travel Arrangements 501-1,000 employees 954 on LinkedIn",Travel Arrangements 
35,cp_36,Happiest Minds Technologies,"74,728 followers","10,001+ employees","Motor Vehicle Manufacturing 10,001+ employees 7,286 on LinkedIn",Motor Vehicle Manufacturing 
36,cp_37,BT Group,"398,367 followers","5,001-10,000 employees","Accounting 5,001-10,000 employees 6,390 on LinkedIn",Accounting 
37,cp_38,HTC Global Services,"322,181 followers","5,001-10,000 employees","Technology, Information and Internet 5,001-10,000 employees 8,051 on LinkedIn","Technology, Information and Internet "
38,cp_39,Panamax Infotech,"63,757 followers","501-1,000 employees","Computer Games 501-1,000 employees 652 on LinkedIn",Computer Games 
39,cp_40,Datamatics,"91,401 followers","1,001-5,000 employees","Financial Services 1,001-5,000 employees 4,055 on LinkedIn",Financial Services 
40,cp_41,KPIT,"548,324 followers","1,001-5,000 employees","Manufacturing 1,001-5,000 employees 8,612 on LinkedIn",Manufacturing 
41,cp_42,Iron Mountain,"14,684,589 followers","10,001+ employees","IT Services and IT Consulting 10,001+ employees 594,255 on LinkedIn",IT Services and IT Consulting 
42,cp_43,Insight Global,"19,794 followers",51-200 employees,Software Development 51-200 employees 40 on LinkedIn,Software Development 
