,details_id,Involvement,Level,Total_Applicants
0,dt_1,Full-time,NA,63 applicants
1,dt_2,Full-time,NA,2 applicants
2,dt_3,Full-time,Mid-Senior level,Over 100 applicants
3,dt_4,NA,Associate,Over 100 applicants
4,dt_5,Full-time,NA,56 applicants
5,dt_6,Full-time,Mid-Senior level,Over 100 applicants
6,dt_7,Full-time,Mid-Senior level,Over 100 applicants
7,dt_8,Hybrid,Associate,Over 100 applicants
8,dt_9,Hybrid,Mid-Senior level,Over 100 applicants
9,dt_10,Full-time,Mid-Senior level,Over 100 applicants
10,dt_11,Full-time,Mid-Senior level,Over 100 applicants
11,dt_12,Full-time,Mid-Senior level,2 applicants
12,dt_13,Hybrid,Mid-Senior level,43 applicants
13,dt_14,Full-time,Mid-Senior level,Over 100 applicants
14,dt_15,Hybrid,NA,35 applicants
15,dt_16,Full-time,Mid-Senior level,Over 100 applicants
16,dt_17,Full-time,Entry level,27 applicants
17,dt_18,Full-time,Associate,37 applicants
18,dt_19,Hybrid,Mid-Senior level,Over 100 applicants
19,dt_20,Full-time,Director,Over 100 applicants
20,dt_21,Hybrid,Mid-Senior level,Over 100 applicants
21,dt_22,Full-time,Entry level,Over 100 applicants
22,dt_23,Full-time,Mid-Senior level,Over 100 applicants
23,dt_24,Full-time,NA,Over 100 applicants
24,dt_25,Full-time,Mid-Senior level,Over 100 applicants
25,dt_26,Full-time,Mid-Senior level,Over 100 applicants
26,dt_27,Hybrid,Mid-Senior level,Over 100 applicants
27,dt_28,Hybrid,Associate,Over 100 applicants
28,dt_29,Full-time,NA,96 applicants
29,dt_30,Full-time,Mid-Senior level,Over 100 applicants
30,dt_31,Hybrid,NA,Over 100 applicants
31,dt_32,Full-time,Mid-Senior level,20 applicants
32,dt_33,Full-time,Mid-Senior level,40 applicants
33,dt_34,Hybrid,Director,Over 100 applicants
34,dt_35,Full-time,Mid-Senior level,Over 100 applicants
35,dt_36,Full-time,Entry level,9 applicants
36,dt_37,Hybrid,Mid-Senior level,Over 100 applicants
37,dt_38,Full-time,Mid-Senior level,Over 100 applicants
38,dt_39,Full-time,Mid-Senior level,Over 100 applicants
39,dt_40,Full-time,Mid-Senior level,Over 100 applicants
40,dt_41,Full-time,Associate,Over 100 applicants
41,dt_42,Full-time,Mid-Senior level,34 applicants
42,dt_43,Hybrid,NA,20 applicants
43,dt_44,Hybrid,Associate,Over 100 applicants
44,dt_45,Full-time,Director,Over 100 applicants
45,dt_46,Hybrid,NA,24 applicants
46,dt_47,Full-time,Associate,Over 100 applicants
47,dt_48,Hybrid,Mid-Senior level,Over 100 applicants
48,dt_49,Full-time,Associate,82 applicants
49,dt_50,Hybrid,Mid-Senior level,Over 100 applicants
50,dt_51,Full-time,Director,Over 100 applicants
51,dt_52,Full-time,Mid-Senior level,Over 100 applicants
52,dt_53,Full-time,Entry level,3 applicants
53,dt_54,Full-time,Associate,Over 100 applicants
54,dt_55,Full-time,Mid-Senior level,Over 100 applicants
55,dt_56,Full-time,Associate,Over 100 applicants
56,dt_57,Hybrid,Mid-Senior level,Over 100 applicants
57,dt_58,Full-time,Mid-Senior level,5 applicants
58,dt_59,Full-time,Mid-Senior level,Over 100 applicants
59,dt_60,Full-time,NA,Over 100 applicants
60,dt_61,Full-time,NA,1 applicant
61,dt_62,Full-time,Mid-Senior level,Over 100 applicants
62,dt_63,Hybrid,Mid-Senior level,11 applicants
63,dt_64,Full-time,Mid-Senior level,Over 100 applicants
64,dt_65,Full-time,Mid-Senior level,Over 100 applicants
65,dt_66,Hybrid,NA,6 applicants
66,dt_67,Hybrid,Mid-Senior level,Over 100 applicants
67,dt_68,Full-time,Entry level,Over 100 applicants
68,dt_69,Full-time,NA,94 applicants
69,dt_70,Hybrid,Mid-Senior level,Over 100 applicants
70,dt_71,Full-time,Associate,59 applicants
71,dt_72,Full-time,Mid-Senior level,Over 100 applicants
72,dt_73,Full-time,Mid-Senior level,Over 100 applicants
73,dt_74,Full-time,Associate,99 applicants
74,dt_75,Hybrid,Mid-Senior level,Over 100 applicants
75,dt_76,Full-time,Mid-Senior level,34 applicants
76,dt_77,Full-time,Mid-Senior level,Over 100 applicants
77,dt_78,Full-time,Mid-Senior level,47 applicants
78,dt_79,Full-time,Mid-Senior level,Over 100 applicants
79,dt_80,Hybrid,Entry level,41 applicants
80,dt_81,Full-time,Associate,61 applicants
81,dt_82,Hybrid,Entry level,85 applicants
82,dt_83,Hybrid,Mid-Senior level,2 applicants
83,dt_84,Full-time,Associate,74 applicants
84,dt_85,Full-time,Entry level,Over 100 applicants
85,dt_86,Full-time,Entry level,52 applicants
86,dt_87,Hybrid,NA,98 applicants
87,dt_88,Hybrid,Entry level,Over 100 applicants
88,dt_89,Full-time,Mid-Senior level,6 applicants
89,dt_90,Full-time,Associate,80 applicants
90,dt_91,Full-time,Associate,Over 100 applicants
91,dt_92,Full-time,Entry level,Over 100 applicants
92,dt_93,Full-time,Mid-Senior level,88 applicants
93,dt_94,Full-time,Mid-Senior level,Over 100 applicants
94,dt_95,Full-time,Entry level,77 applicants
95,dt_96,Full-time,Mid-Senior level,99 applicants
96,dt_97,Full-time,Mid-Senior level,Over 100 applicants
97,dt_98,Full-time,Associate,Over 100 applicants
98,dt_99,Full-time,Mid-Senior level,Over 100 applicants
99,dt_100,Full-time,Mid-Senior level,Over 100 applicants
100,dt_101,Hybrid,Associate,Over 100 applicants
101,dt_102,Hybrid,Mid-Senior level,Over 100 applicants
102,dt_103,Hybrid,Mid-Senior level,Over 100 applicants
103,dt_104,Full-time,Mid-Senior level,89 applicants
104,dt_105,Full-time,NA,83 applicants
105,dt_106,Full-time,Associate,Over 100 applicants
106,dt_107,Full-time,Mid-Senior level,94 applicants
107,dt_108,Full-time,Mid-Senior level,94 applicants
108,dt_109,Full-time,Associate,66 applicants
109,dt_110,Full-time,NA,37 applicants
110,dt_111,Full-time,NA,40 applicants
111,dt_112,Full-time,Entry level,17 applicants
112,dt_113,Full-time,Associate,Over 100 applicants
113,dt_114,Full-time,Entry level,Over 100 applicants
114,dt_115,Hybrid,Mid-Senior level,Over 100 applicants
115,dt_116,Full-time,Executive,94 applicants
116,dt_117,Hybrid,NA,Over 100 applicants
117,dt_118,Hybrid,Associate,Over 100 applicants
118,dt_119,Full-time,Mid-Senior level,36 applicants
119,dt_120,Hybrid,Mid-Senior level,Over 100 applicants
120,dt_121,Hybrid,Associate,Over 100 applicants
121,dt_122,Full-time,Associate,Over 100 applicants
122,dt_123,Full-time,NA,54 applicants
123,dt_124,Full-time,Associate,100 applicants
124,dt_125,Full-time,Mid-Senior level,71 applicants
125,dt_126,Hybrid,Associate,Over 100 applicants
126,dt_127,Full-time,Mid-Senior level,93 applicants
127,dt_128,Full-time,Associate,Over 100 applicants
128,dt_129,Full-time,Associate,79 applicants
129,dt_130,Full-time,Entry level,35 applicants
130,dt_131,Full-time,Executive,30 applicants
131,dt_132,Full-time,NA,22 applicants
132,dt_133,Full-time,Associate,Over 100 applicants
133,dt_134,Full-time,Entry level,81 applicants
134,dt_135,Full-time,Mid-Senior level,71 applicants
135,dt_136,Full-time,Associate,Over 100 applicants
136,dt_137,Full-time,Associate,Over 100 applicants
137,dt_138,Hybrid,Associate,Over 100 applicants
138,dt_139,Full-time,Entry level,21 applicants
139,dt_140,Full-time,Mid-Senior level,Over 100 applicants
140,dt_141,Full-time,Mid-Senior level,Over 100 applicants
141,dt_142,Hybrid,Associate,96 applicants
142,dt_143,Hybrid,Associate,Over 100 applicants
143,dt_144,Full-time,Mid-Senior level,Over 100 applicants
